index,title,release_date,vote_average
3432,Another Year,2010-11-05,6.986
3433,Rebel Ridge,2024-08-27,6.985
3434,Scooby-Doo! Return to Zombie Island,2019-09-03,6.985
3435,The Age of Innocence,1993-09-10,6.985
3436,The Fast and the Furious,2001-06-22,6.986
3437,Running Scared,2006-01-06,7.0
3438,Dr. No,1962-10-07,6.984
3439,Stronger,2017-09-22,6.983
3440,The Witch,2016-02-19,6.983
3441,God Bless America,2012-05-11,6.983
3442,Facing Windows,2003-02-27,6.983
3443,Dug's Special Mission,2009-11-10,7.0
3444,Shattered Glass,2003-11-14,6.983
3445,The Class,2008-09-24,6.983
3446,Julieta,2016-04-08,7.0
3447,As Tears Go By,1988-06-09,7.0
3448,How the West Was Won,1962-11-02,7.0
3449,Nightmare Alley,2021-12-02,6.981
3450,Barbie,2023-07-19,6.982
3451,The Magic of Belle Isle,2012-07-06,7.0
3452,Big Eyes,2014-12-24,7.0
3453,ACAB : All Cops Are Bastards,2012-01-27,7.0
3454,My Babysitter's a Vampire,2010-10-09,7.0
3455,Werewolf by Night,2022-09-25,6.978
3456,Gorillas in the Mist,1988-09-23,6.98
3457,Brawl in Cell Block 99,2017-09-23,6.979
3458,Bronson,2009-03-13,6.978
3459,Mamma Mia!,2008-07-03,6.979
3460,Kingdom of Heaven,2005-05-03,6.978
3461,Body Heat,1981-08-28,7.0
3462,Funny Face,1957-02-13,6.978
3463,West Side Story,2021-12-08,6.976
3464,Crime Busters,1977-04-01,6.977
3465,Heavenly Creatures,1994-09-12,7.0
3466,Minuscule: Valley of the Lost Ants,2013-11-17,7.0
3467,Sinbad: Legend of the Seven Seas,2003-07-02,6.976
3468,Frailty,2002-04-12,6.976
3469,A Conspiracy of Faith,2016-03-03,7.0
3470,Silverado,1985-07-10,7.0
3471,The Host,2006-07-27,7.0
3472,The Addams Family 2,2021-10-01,6.974
3473,Ocean's Eight,2018-06-07,6.974
3474,Extremely Loud & Incredibly Close,2011-12-25,6.974
3475,The Baader Meinhof Complex,2008-09-25,6.974
3476,"Good Luck to You, Leo Grande",2022-06-16,6.973
3477,Licorice Pizza,2021-11-26,6.973
3478,The Bob's Burgers Movie,2022-05-26,7.0
3479,Foreign Correspondent,1940-08-16,7.0
3480,Alice Doesn't Live Here Anymore,1974-12-09,7.0
3481,"It's a Mad, Mad, Mad, Mad World",1963-11-07,6.973
3482,The Place Beyond the Pines,2013-03-20,7.0
3483,Dangerous Minds,1995-08-11,6.972
3484,Animal House,1978-07-28,7.0
3485,Meet Me in St. Louis,1944-11-28,7.0
3486,Capote,2005-09-30,6.972
3487,Beauty and the Beast,2017-03-16,6.971
3488,Timbuktu,2014-12-10,7.0
3489,The People vs. Larry Flynt,1996-12-25,7.0
3490,Mummies,2023-01-05,6.97
3491,Tom Clancy's Without Remorse,2021-04-29,6.97
3492,Fantasia 2000,2000-01-01,6.97
3493,Go for It,1983-02-01,7.0
3494,A Bug's Life,1998-11-25,6.97
3495,Mr. Holland's Opus,1995-12-29,6.97
3496,Before I Fall,2017-03-02,7.0
3497,In Time,2011-10-27,6.969
3498,Angel-A,2005-12-21,6.969
3499,In the Line of Fire,1993-07-08,7.0
3500,M*A*S*H,1970-02-18,7.0
3501,Rumble Fish,1983-10-09,7.0
3502,The Sun Is Also a Star,2019-05-16,6.968
3503,Le Brio,2017-11-22,7.0
3504,The Foreigner,2017-09-28,6.967
3505,Toni Erdmann,2016-07-14,7.0
3506,Odds and Evens,1978-10-28,7.0
3507,Amen.,2002-02-27,6.968
3508,Next Gen,2018-09-07,6.967
3509,Ronin,1998-09-25,6.967
3510,The White Tiger,2021-01-13,6.966
3511,The Platform,2019-11-08,6.966
3512,mother!,2017-09-13,7.0
3513,The Princess Diaries,2001-08-03,6.966
3514,Jerry Maguire,1996-12-13,6.966
3515,Chocolat,2000-12-22,6.966
3516,It's Kind of a Funny Story,2010-10-08,6.965
3517,Challengers,2024-04-18,7.0
3518,"Lyle, Lyle, Crocodile",2022-10-07,6.964
3519,Charlie St. Cloud,2010-07-30,7.0
3520,Deathstroke: Knights & Dragons - The Movie,2020-08-04,7.0
3521,Us,2019-03-14,6.963
3522,Just Like Heaven,2005-09-16,6.962
3523,Jeanne du Barry,2023-05-16,7.0
3524,El Camino: A Breaking Bad Movie,2019-10-11,6.962
3525,A Beautiful Day in the Neighborhood,2019-09-07,6.962
3526,Stan & Ollie,2018-12-28,6.962
3527,24 Hour Party People,2002-02-13,7.0
3528,Mickey 17,2025-02-28,7.0
3529,The Monster,1994-10-22,7.0
3530,The Descent,2005-07-08,6.961
3531,Sunshine,2007-04-05,7.0
3532,Hawaiian Vacation,2011-06-16,7.0
3533,Rob-B-Hood,2006-09-28,7.0
3534,Fish Tank,2009-09-11,6.96
3535,Smokey and the Bandit,1977-05-26,6.96
3536,Wag the Dog,1997-12-25,7.0
3537,The Night of the 12th,2022-07-13,6.959
3538,The Pope's Exorcist,2023-04-05,6.959
3539,News of the World,2020-12-25,6.959
3540,Stardust Memories,1980-09-26,7.0
3541,Dressed to Kill,1980-07-25,6.959
3542,The Isle,2000-04-22,6.959
3543,Homeward Bound: The Incredible Journey,1993-02-03,7.0
3544,The Fearless Vampire Killers,1967-11-13,6.959
3545,The Mask,1994-07-29,6.959
3546,Kingsman: The Golden Circle,2017-09-20,6.958
3547,Shot Caller,2017-07-13,6.958
3548,Wristcutters: A Love Story,2007-10-19,7.0
3549,Die Hard 2,1990-07-03,6.958
3550,Ammonite,2020-11-13,7.0
3551,The Secret Life of Pets 2,2019-05-24,7.0
3552,Hotel Transylvania,2012-09-20,6.957
3553,The Adventures of Baron Munchausen,1988-12-07,6.953
3554,A Room with a View,1986-03-07,7.0
3555,Tsotsi,2005-12-23,7.0
3556,The Three Musketeers: D'Artagnan,2023-04-05,6.956
3557,The Batman vs. Dracula,2005-10-18,7.0
3558,"Hello, Dolly!",1969-12-12,6.956
3559,The Good Boss,2021-10-15,7.0
3560,Rescue Dawn,2006-09-09,6.955
3561,Rabbit-Proof Fence,2002-02-04,7.0
3562,Skin,2019-07-26,6.957
3563,At Eternity's Gate,2018-11-15,6.954
3564,Shaun the Sheep Movie,2015-02-05,6.954
3565,The Angels' Share,2012-06-01,6.954
3566,A Wednesday!,2008-09-05,6.954
3567,RocknRolla,2008-09-04,6.954
3568,The Hitcher,1986-01-17,6.954
3569,Resistance,2020-03-27,6.951
3570,Team Thor: Part 2,2017-02-14,7.0
3571,Emerald Green,2016-07-07,6.953
3572,The Cyclone,1996-12-20,7.0
3573,Little Shop of Horrors,1986-12-19,6.953
3574,Passengers,2016-12-21,6.952
3575,Nothing But the Truth,2008-12-19,6.952
3576,Frosty the Snowman,1969-12-07,6.952
3577,"sex, lies, and videotape",1989-08-04,7.0
3578,Irreplaceable You,2018-02-16,7.0
3579,Ruby Red,2013-03-14,6.951
3580,Four Lions,2010-05-07,6.951
3581,Two Mules for Sister Sara,1970-03-02,6.951
3582,The Lion King II: Simba's Pride,1998-10-24,7.0
3583,SPL: Kill Zone,2005-11-18,7.0
3584,Excalibur,1981-04-10,6.95
3585,Gods and Monsters,1998-09-12,7.0
3586,Addams Family Values,1993-11-19,6.95
3587,"I, Robot",2004-07-15,6.95
3588,Twilight of the Warriors: Walled In,2024-04-23,6.9
3589,Tolkien,2019-05-03,6.949
3590,Silkwood,1983-12-14,6.948
3591,Serendipity,2001-10-05,6.9
3592,The Queen,2006-09-15,6.948
3593,Blue Valentine,2010-12-26,6.947
3594,Southern Comfort,1981-09-24,6.944
3595,Cashback,2007-01-17,6.947
3596,The Squid and the Whale,2005-10-05,6.947
3597,Flight of the Navigator,1986-07-30,6.947
3598,Ben X,2007-08-26,6.9
3599,Valkyrie,2008-12-25,6.947
3600,RETURN,1985-01-01,6.945
3601,Enemy Mine,1985-12-12,6.946
3602,Wicked Little Letters,2024-02-23,6.941
3603,The Gray Man,2022-07-13,6.945
3604,Missing Link,2019-04-04,6.9
3605,Road House,2024-03-08,6.945
3606,The Exception,2017-06-02,6.9
3607,T2 Trainspotting,2017-01-27,6.945
3608,Superman vs. The Elite,2012-06-12,6.9
3609,Family Guy Presents: Stewie Griffin: The Untold Story,2005-07-23,6.945
3610,Dolphin Tale 2,2014-09-11,6.9
3611,The Best Exotic Marigold Hotel,2012-02-23,6.9
3612,Last Tango in Paris,1972-12-15,6.942
3613,Out of My League,2020-10-22,6.9
3614,Dante's Inferno: An Animated Epic,2010-02-09,6.9
3615,An Education,2009-10-29,6.943
3616,Carnival of Souls,1962-11-02,6.9
3617,The Misfits,1961-02-01,6.9
3618,Sleeping Beauty,1959-02-17,6.943
3619,Alphaville,1965-05-05,6.943
3620,The Tin Drum,1979-05-02,6.9
3621,Insomnia,2002-05-24,6.943
3622,Lightyear,2022-06-15,6.942
3623,SlugTerra: Return of the Elementals,2014-08-02,6.9
3624,Homefront,2013-11-12,6.942
3625,Water for Elephants,2011-04-15,6.943
3626,Grand Hotel,1932-05-25,6.9
3627,Soylent Green,1973-04-18,6.942
3628,Ghosted,2023-04-18,6.941
3629,Love Hard,2021-11-05,6.941
3630,Lean on Pete,2018-04-06,6.9
3631,The Three Brothers,1995-12-13,6.9
3632,Futurama: The Beast with a Billion Backs,2008-06-30,6.9
3633,Runaway Train,1985-11-15,6.9
3634,Frankenweenie,1984-12-14,6.94
3635,Medieval,2022-09-08,6.9
3636,City Island,2009-03-06,6.939
3637,The Bad News Bears,1976-04-06,6.939
3638,The Mummy,1999-04-16,6.9
3639,Fear of Rain,2021-02-12,6.9
3640,The Other Side of Hope,2017-02-03,6.9
3641,No Escape,2015-08-26,6.938
3642,Insidious,2011-03-31,6.938
3643,Moonwalker,1988-10-29,6.9
3644,Fly Away Home,1996-09-13,6.9
3645,Knox Goes Away,2024-03-15,6.937
3646,"Definitely, Maybe",2008-02-08,6.9
3647,Mr. Brooks,2007-06-01,6.936
3648,Private Life,2018-10-05,6.9
3649,The Witches,1990-05-25,6.936
3650,Grosse Pointe Blank,1997-04-11,6.9
3651,Pearl Harbor,2001-05-21,6.936
3652,Munich – The Edge of War,2021-12-31,6.935
3653,Set It Up,2018-06-15,6.936
3654,Shame,2011-10-02,6.9
3655,Batman Returns,1992-06-19,6.934
3656,Antwone Fisher,2002-12-19,6.9
3657,The Beat That My Heart Skipped,2005-03-16,6.9
3658,Strange Darling,2024-08-22,6.9
3659,Sharper,2023-02-10,6.933
3660,Plane,2023-01-12,6.933
3661,The Beyond,1981-04-22,6.9
3662,Mona Lisa Smile,2003-12-19,6.9
3663,Evil Dead Rise,2023-04-12,6.9
3664,The Electrical Life of Louis Wain,2021-10-21,6.9
3665,Tinker Bell and the Pirate Fairy,2014-02-13,6.932
3666,The Big Shave,1967-12-29,6.9
3667,Pokémon: The First Movie,1998-07-18,6.932
3668,Wicked,2024-11-20,6.931
3669,The Bélier Family,2014-12-17,6.931
3670,Despicable Me 2,2013-06-26,6.931
3671,The Time Traveler's Wife,2009-08-14,6.9
3672,Much Ado About Nothing,1993-05-07,6.9
3673,The Mist,2007-11-21,6.931
3674,Don't Look Now,1973-10-11,6.931
3675,Blinded by the Light,2019-08-09,6.93
3676,If Beale Street Could Talk,2018-12-14,6.93
3677,Hidden Strike,2023-07-06,6.93
3678,Sicario: Day of the Soldado,2018-06-27,6.93
3679,The Road Within,2014-10-24,6.9
3680,"Maggie Simpson in ""The Longest Daycare""",2012-07-12,6.93
3681,The Crimson Rivers,2000-09-27,6.93
3682,House of Wax,1953-04-16,6.93
3683,Coffee and Cigarettes,2004-03-12,6.93
3684,Let It Shine,2012-06-15,6.9
3685,Iron Man 3,2013-04-18,6.929
3686,White Chicks,2004-06-23,6.927
3687,Isi & Ossi,2020-02-14,6.9
3688,Street Flow,2019-10-12,6.9
3689,The Peanuts Movie,2015-11-05,6.928
3690,Dragon Ball: Episode of Bardock,2011-12-17,6.928
3691,Boris: The Film,2011-04-01,6.9
3692,Runaway Jury,2003-01-16,6.928
3693,Cold Mountain,2003-12-24,6.928
3694,Children of a Lesser God,1986-09-13,6.9
3695,Basic Instinct,1992-03-20,6.928
3696,Through My Window 3: Looking at You,2024-02-23,6.927
3697,The Hater,2020-03-06,6.9
3698,Swiss Army Man,2016-06-24,6.927
3699,Barbie in the Pink Shoes,2013-02-14,6.927
3700,Notorious,2009-01-16,6.927
3701,9,2009-08-19,6.927
3702,Odd Thomas,2013-01-29,6.929
3703,Black Christmas,1974-10-11,6.926
3704,The Miseducation of Cameron Post,2018-07-18,6.9
3705,Barbie in Rock 'N Royals,2015-08-12,6.9
3706,Belle and Sebastian,2013-12-18,6.9
3707,Gainsbourg: A Heroic Life,2010-01-20,6.9
3708,Creepshow,1982-11-10,6.924
3709,Sink or Swim,2018-10-24,6.9
3710,Belle and Sebastian: The Adventure Continues,2015-12-08,6.9
3711,Tracks,2013-12-19,6.923
3712,The Way We Were,1973-10-17,6.923
3713,Asterix and Cleopatra,1968-12-19,6.923
3714,Starman,1984-12-13,6.923
3715,Desperado,1995-08-25,6.923
3716,In the Bedroom,2001-11-23,6.923
3717,War Dogs,2016-08-18,6.922
3718,Triangle,2009-10-16,6.922
3719,Unleashed,2005-02-02,6.9
3720,A Shaun the Sheep Movie: Farmageddon,2019-09-26,6.9
3721,Middle School: The Worst Years of My Life,2016-10-07,6.921
3722,The Abominable Dr. Phibes,1971-05-18,6.9
3723,The Unbearable Lightness of Being,1988-02-05,6.9
3724,Pokémon Detective Pikachu,2019-05-03,6.92
3725,Hostiles,2017-12-22,6.92
3726,Ant-Man and the Wasp,2018-07-04,6.92
3727,Crazy Heart,2009-12-16,6.92
3728,The Fountain,2006-11-22,6.92
3729,Zombieland: Double Tap,2019-10-09,6.92
3730,The Croods,2013-03-15,6.919
3731,The House of the Spirits,1993-10-21,6.9
3732,Dogma,1999-11-12,6.919
3733,State of Grace,1990-09-14,6.919
3734,The Innocents,2021-09-03,6.9
3735,Cold Fish,2011-01-29,6.918
3736,Dolphin Tale,2011-09-22,6.9
3737,Cat People,1942-12-05,6.918
3738,A Week Away,2021-03-26,6.9
3739,The Forever Purge,2021-06-30,6.9
3740,Robot & Frank,2012-08-24,6.9
3741,Wheels on Meals,1984-08-17,6.9
3742,Gettysburg,1993-10-08,6.917
3743,Monsieur Hulot's Holiday,1953-02-25,6.9
3744,Broken Flowers,2005-07-31,6.917
3745,Penguin Bloom,2021-01-21,6.916
3746,The Brave Little Toaster,1987-07-09,6.916
3747,Green Lantern: First Flight,2009-07-28,6.916
3748,Borg vs McEnroe,2017-09-08,6.9
3749,Barbie Mariposa & the Fairy Princess,2013-08-25,6.9
3750,Journey to the West: Conquering the Demons,2013-02-07,6.915
3751,Divergent,2014-03-14,6.915
3752,Tidal Wave,2009-07-22,6.9
3753,Pocahontas,1995-06-14,6.915
3754,Meet the Robinsons,2007-03-23,6.915
3755,Tom and Jerry Cowboy Up!,2022-01-24,6.9
3756,The Tragedy of Macbeth,2021-12-05,6.914
3757,Uncharted,2022-02-10,6.915
3758,Nine to Five,1980-12-18,6.914
3759,Journey to the Center of the Earth,1959-12-15,6.914
3760,Thursday,1998-09-25,6.914
3761,Step Up Revolution,2012-07-26,6.9
3762,Center Stage,2000-05-12,6.913
3763,Velvet Goldmine,1998-08-28,6.9
3764,Game Change,2012-02-28,6.912
3765,Layer Cake,2004-09-30,6.912
3766,The Corpse of Anna Fritz,2015-03-15,6.911
3767,Kids Return,1996-07-27,6.911
3768,Infernal Affairs III,2003-12-12,6.9
3769,Friday Night Lights,2004-10-08,6.911
3770,Can't Buy Me Love,1987-08-14,6.911
3771,Spy Game,2001-11-18,6.911
3772,Cemetery Man,1994-03-25,6.9
3773,The Substitute,1996-04-19,6.9
3774,Victoria & Abdul,2017-09-13,6.9
3775,Kung Fu Panda 3,2016-01-23,6.908
3776,Kon-Tiki,2012-08-24,6.9
3777,Tremors,1990-01-19,6.909
3778,Sneakers,1992-09-09,6.9
3779,Pacific Rim,2013-07-11,6.908
3780,Dragon: The Bruce Lee Story,1993-05-07,6.9
3781,Madagascar,2005-05-25,6.908
3782,The Mustang,2019-03-15,6.9
3783,Hotel Chevalier,2007-10-26,6.907
3784,In Order of Disappearance,2014-02-21,6.9
3785,The Strange Thing About the Johnsons,2011-01-22,6.9
3786,Life As We Know It,2010-10-02,6.906
3787,Heart and Souls,1993-08-13,6.9
3788,Monkey Man,2024-04-03,6.905
3789,Suspiria,2018-10-26,6.905
3790,Locke,2014-04-10,6.905
3791,Outrage,2010-05-17,6.905
3792,Streets of Fire,1984-06-01,6.9
3793,The Frighteners,1996-07-18,6.905
3794,Mothers' Instinct,2024-01-11,6.904
3795,Metal Lords,2022-04-08,6.904
3796,The Promise,2016-12-02,6.9
3797,Sleeper,1973-12-17,6.9
3798,The Sessions,2012-05-02,6.903
3799,Snowpiercer,2013-08-01,6.903
3800,Career Opportunities,1991-03-29,6.903
3801,The Hidden,1987-10-30,6.9
3802,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,6.9
3803,Youth,2015-05-20,6.902
3804,Tangerine,2015-07-10,6.902
3805,Endless Love,2014-02-12,6.902
3806,Winnie the Pooh,2011-04-06,6.902
3807,Once Upon a Snowman,2020-10-23,6.901
3808,Supernova,2020-11-20,6.901
3809,Take the Lead,2006-03-17,6.9
3810,The Woodsman,2004-12-24,6.9
3811,The Villainess,2017-06-08,6.9
3812,Star,2001-06-01,6.9
3813,Death at a Funeral,2007-08-17,6.9
3814,Michael Collins,1996-10-25,6.9
3815,Carry-On,2024-12-05,6.899
3816,The Outpost,2020-06-24,6.899
3817,"Two Days, One Night",2014-05-21,6.9
3818,The Adventures of Tintin,2011-10-24,6.898
3819,Common Wealth,2000-09-29,6.9
3820,Evil Under the Sun,1982-03-05,6.9
3821,Prey for the Devil,2022-10-23,6.9
3822,Three Thousand Years of Longing,2022-08-24,6.898
3823,Summer of 84,2018-08-10,6.9
3824,The Death & Life of John F. Donovan,2019-03-13,6.9
3825,The Hunger Games: Mockingjay - Part 2,2015-11-18,6.898
3826,Clash of the Titans,1981-06-12,6.899
3827,In the Fade,2017-11-23,6.9
3828,SK1,2015-01-07,6.9
3829,Underdogs,2013-07-18,6.897
3830,Clerks II,2006-07-21,6.897
3831,Benny's Video,1992-10-20,6.897
3832,Queen of Hearts,2019-03-27,6.9
3833,The Night Comes for Us,2018-10-05,6.896
3834,Resident Evil: Vendetta,2017-05-27,6.895
3835,The Little Vampire,2000-10-27,6.9
3836,The Jerk,1979-12-14,6.9
3837,The Horse Whisperer,1998-02-01,6.9
3838,Benji,2018-03-16,6.895
3839,Colette,2018-09-21,6.895
3840,Hunter Killer,2018-10-19,6.895
3841,Hidden,2015-09-15,6.895
3842,Starbuck,2011-07-27,6.895
3843,The Natural,1984-05-11,6.895
3844,Fearless,1993-10-15,6.9
3845,Anyone But You,2023-12-21,6.893
3846,Horizon: An American Saga - Chapter 1,2024-06-26,6.9
3847,Look Both Ways,2022-08-16,6.889
3848,Jumanji: The Next Level,2019-12-04,6.895
3849,The Decameron,1971-08-25,6.9
3850,Orlando,1992-12-11,6.9
3851,8 Women,2002-02-06,6.9
3852,The Golden Glove,2019-02-21,6.9
3853,Mike's New Car,2002-05-24,6.893
3854,Futurama: Bender's Game,2008-11-03,6.9
3855,The Apprentice,2024-10-09,6.887
3856,Leap Year,2010-01-08,6.892
3857,Rocky III,1982-05-28,6.892
3858,Independence Day,1996-06-25,6.892
3859,The Good Nurse,2022-10-19,6.9
3860,Saturn in Opposition,2007-02-23,6.9
3861,No Way Out,1987-08-14,6.891
3862,Ginger Snaps,2000-12-11,6.9
3863,The Hitman's Bodyguard,2017-08-16,6.89
3864,A Perfect Man,2015-03-18,6.9
3865,Looper,2012-09-26,6.89
3866,Reds,1981-12-25,6.9
3867,The Sweet Hereafter,1997-09-25,6.9
3868,Manderlay,2005-06-03,6.9
3869,The War of the Roses,1989-12-08,6.89
3870,After Everything,2023-09-13,6.889
3871,Women Talking,2022-12-23,6.889
3872,Wonder Woman: Bloodlines,2019-10-04,6.889
3873,Teen Beach Movie,2013-08-07,6.9
3874,Tinker Bell,2008-09-11,6.9
3875,36th Precinct,2004-11-24,6.889
3876,A Perfect Pairing,2022-05-19,6.888
3877,How to Be a Latin Lover,2017-03-06,6.888
3878,Escape to Victory,1981-06-17,6.9
3879,Breakdown,1997-05-02,6.888
3880,GoldenEye,1995-11-16,6.889
3881,Saboteur,1942-04-24,6.9
3882,No Exit,2022-02-24,6.886
3883,American Made,2017-08-18,6.886
3884,Cloud 9,2014-01-17,6.9
3885,Cloud Atlas,2012-10-26,6.886
3886,Under the Tuscan Sun,2003-09-20,6.886
3887,Alive,1993-01-15,6.9
3888,To Catch a Killer,2023-04-06,6.885
3889,School Life,2019-08-28,6.9
3890,Disobedience,2018-04-24,6.9
3891,A Christmas Carol,2009-11-04,6.885
3892,Batman & Mr. Freeze: SubZero,1998-02-11,6.885
3893,King Kong,2005-12-12,6.885
3894,"Paris, 13th District",2021-11-03,6.884
3895,Death Wish,1974-07-24,6.885
3896,Kiss of the Dragon,2001-07-06,6.885
3897,Hidalgo,2004-02-04,6.883
3898,The Kissing Booth 3,2021-08-11,6.882
3899,Project X,2012-03-01,6.884
3900,Kids,1995-07-28,6.883
3901,Blended,2014-05-21,6.882
3902,Soul Kitchen,2009-09-09,6.882
3903,Coming to America,1988-06-29,6.882
3904,Tears of the Sun,2003-03-07,6.9
3905,Hellraiser,1987-09-11,6.882
3906,Gomorrah,2008-05-16,6.882
3907,The X-Files,1998-06-19,6.882
3908,4th Man Out,2015-05-26,6.881
3909,Those People,2015-05-16,6.881
3910,Resident Evil: Damnation,2012-09-25,6.88
3911,Frequently Asked Questions About Time Travel,2009-04-24,6.9
3912,Coco Before Chanel,2009-04-22,6.881
3913,Descendants: The Rise of Red,2024-07-11,6.9
3914,A Monster in Paris,2011-10-12,6.88
3915,Flash Point,2007-07-26,6.9
3916,Maverick,1994-05-20,6.88
3917,Now and Then,1995-10-20,6.88
3918,21 Jump Street,2012-03-14,6.9
3919,The Believer,2001-08-23,6.879
3920,Deepwater Horizon,2016-09-28,6.878
3921,Hard Eight,1996-05-15,6.878
3922,Little,2019-04-04,6.9
3923,Invasion,2020-02-27,6.9
3924,The One I Love,2014-08-08,6.9
3925,Dragon Ball Z: Super Android 13!,1992-07-11,6.877
3926,Noroi: The Curse,2005-08-20,6.877
3927,Swingers,1996-10-18,6.877
3928,Carrie Pilby,2017-03-31,6.9
3929,Steamboy,2004-07-17,6.876
3930,Aquaman,2018-12-07,6.875
3931,Chained,2012-10-02,6.9
3932,Swiss Family Robinson,1960-12-21,6.9
3933,She Wore a Yellow Ribbon,1949-10-22,6.9
3934,Dirty Pretty Things,2002-09-05,6.875
3935,Spirited,2022-11-10,6.874
3936,My Spy,2020-01-09,6.9
3937,Focus,2015-02-25,6.874
3938,Near Dark,1987-10-02,6.9
3939,Nixon,1995-12-22,6.874
3940,Heartbreak Ridge,1986-12-05,6.874
3941,AKA,2023-04-28,6.873
3942,Civil War,2024-04-10,6.9
3943,Bruised,2020-09-12,6.873
3944,Highlander,1986-03-07,6.874
3945,Poison,2023-09-29,6.872
3946,Babyteeth,2020-06-15,6.872
3947,Black Adam,2022-10-19,6.872
3948,Frank,2014-05-09,6.872
3949,Perfect Sense,2011-09-29,6.872
3950,Adventures in Babysitting,1987-07-01,6.9
3951,That Thing You Do!,1996-10-04,6.9
3952,Parthenope,2024-10-19,6.866
3953,Mandela: Long Walk to Freedom,2013-11-28,6.871
3954,Barbie in the Nutcracker,2001-09-30,6.9
3955,Mannequin,1987-02-13,6.9
3956,The Jacket,2005-03-04,6.871
3957,Déjà Vu,2006-11-22,6.871
3958,Tie Me Up! Tie Me Down!,1990-01-22,6.9
3959,Blood: The Last Vampire,2000-11-18,6.871
3960,Rango,2011-03-02,6.87
3961,Some Kind of Wonderful,1987-02-27,6.87
3962,Strangeness,2022-10-27,6.869
3963,UFO,2018-09-04,6.869
3964,The Railway Man,2013-12-02,6.9
3965,Gramps Is in the Resistance,1983-10-26,6.869
3966,Who Finds a Friend Finds a Treasure,1981-12-09,6.9
3967,Flavors of Youth,2018-08-04,6.9
3968,2036: Nexus Dawn,2017-08-30,6.868
3969,The Pit and the Pendulum,1961-08-23,6.868
3970,Up in the Air,2009-12-04,6.868
3971,Step Up,2006-08-11,6.868
